Country,Population,
Liechtenstein,38147,0.038147
San Marino,33944,0.033944
Gibraltar,33689,0.033689
British Virgin Islands,30266,0.030266
Caribbean Netherlands,26265,0.026265
Palau,18109,0.018109
Cook Islands,17567,0.017567
Anguilla,15026,0.015026
Tuvalu,11817,0.011817
Wallis & Futuna,11203,0.011203
Nauru,10836,0.010836
Saint Barthelemy,9882,0.009882
Saint Helena,6080,0.00608
Saint Pierre & Miquelon,5789,0.005789
Montserrat,4993,0.004993
Falkland Islands,3497,0.003497
Niue,1628,0.001628
Tokelau,1360,0.00136
Holy See,801,0.000801
